"HorseName","Birthday","Father","Mother","MotherFather","MotherMother","Sex","CoatColor","HorseNameMeaning","HorseOwner","Trainer","ProductionRanch","Origin"
"イデアエルピス","2016-05-15 00:00:00","カリズマティック","ナイキトライアンフ","ボストンハーバー","ウィンヒストリー","牡","鹿毛　","冠名＋希望（ギリシャ語）","益田修一","勢司和浩(美浦)","中川隆","平取町"
"キタサンテンビー","2016-05-07 00:00:00","ダイワメジャー","ビッグテンビー","テンビー","モガミヒメ","牝","黒鹿毛","冠名＋母名の一部","(有)大野商事","小笠倫弘(美浦)","村田牧場","新冠町"
"オキミヤゲ","2016-02-27 00:00:00","ワークフォース","ブーケティアラ","アグネスタキオン","シンフォニーレディ","牝","鹿毛　","父ワークフォースの置土産","福田光博","根本康広(美浦)","日高大洋牧場","日高町"
"キスオブライフ","2016-05-07 00:00:00","レッドスパーダ","ディヴォーション","ゴールドヘイロー","トウホージュディ","牝","黒鹿毛","起死回生策","グリーンスウォード","和田勇介(美浦)","中橋正","新ひだか町"
"アヴェントゥリスト","2016-04-17 00:00:00","サウスヴィグラス","カズサクション","ゴールドアリュール","グランドサファイヤ","牡","黒鹿毛","冒険者（エスペラント語）","(株)ローレルレーシング","岩戸孝樹(美浦)","村上欽哉","新冠町"
"ドラマチックナイト","2016-03-08 00:00:00","タイキシャトル","エンピリカル","Miswaki","Louisville","牝","鹿毛　","劇的な夜","堀口晴男","杉浦宏昭(美浦)","高岸順一","浦河町"
"ルッキングフライ","2016-02-17 00:00:00","アイルハヴアナザー","ヘレナモルフォ","ジャングルポケット","タガノブラッサム","牡","黒鹿毛","最高にクールだ","岡田牧雄","粕谷昌央(美浦)","岡田スタツド","新ひだか町"
"フクノモンルージュ","2016-05-14 00:00:00","トワイニング","クーニャン","ジャングルポケット","スギノセンヒメ","牝","鹿毛　","冠名＋フランスの都市名","福島祐子","天間昭一(美浦)","(株)ケイズ","日高町"
"ダイチヴィーゼ","2016-05-15 00:00:00","トビーズコーナー","ペルルフィーヌ","ブライアンズタイム","スペリオルパール","牡","青鹿毛","大地＋草地、草原（独）","(有)荻伏服部牧場","蛯名利弘(美浦)","荻伏服部牧場","浦河町"
"レイジングラン","2016-02-15 00:00:00","キングズベスト","ハヤブサショコラ","マンハッタンカフェ","アイチェックユー","牡","黒鹿毛","走りで勝ち上がる","松尾正","藤原辰雄(美浦)","グランド牧場","新ひだか町"
"パワーリンク","2016-03-29 00:00:00","ヴァーミリアン","プロテクトジアース","アフリート","ロジカルクィーン","牡","黒鹿毛","力＋結びつき","飯田正剛","宗像義忠(美浦)","千代田牧場","新ひだか町"
"キシャポッポ","2016-05-03 00:00:00","ルースリンド","キマグレ","サクラバクシンオー","シューティンスター","牡","鹿毛　","汽車ポッポ","小田切有一","星野忍(美浦)","田中裕之","新ひだか町"
"ニコシーナ","2016-04-15 00:00:00","カネヒキリ","ニシノバニーガール","ブライアンズタイム","ビーマイアリ","牝","鹿毛　","ギリシャ語で勝者に由来する名前＋冠名（馬主名より）","椎名節","伊藤圭三(美浦)","ヤマタケ牧場","新冠町"
"フォーアネーム","2016-03-08 00:00:00","ワークフォース","ティンクルチャーミ","スウェプトオーヴァーボード","ピサノベネチアン","牝","鹿毛　","上品（独）","(有)フジワラ・ファーム","田中清隆(美浦)","フジワラフアーム","新ひだか町"
"バイプレーヤー","2016-05-06 00:00:00","トゥザグローリー","アーバンベルノ","カコイーシーズ","アオイセイラ","牡","鹿毛　","脇役の意味からめだたなくても良い走りを","佐藤啓子","伊藤伸一(美浦)","熊沢牧場","えりも町"
"ビービーゲイル","2016-05-23 00:00:00","ベルシャザール","フルーリー","Jade Robbery","Afraah","牡","鹿毛　","冠名＋疾風","坂東勝彦","中舘英二(美浦)","クリアファーム","日高町"
"シルヴァーイーグル","2016-01-20 00:00:00","ハーツクライ","ナドー","Soave","Halix","牡","芦毛　","白銀の鷲","星野隆男","田島俊明(美浦)","社台ファーム","千歳市"
"スカテナート","2016-03-03 00:00:00","キングカメハメハ","アンチュラス","ディープインパクト","アンチョ","牡","鹿毛　","解き放たれた（伊）","吉田安惠","古賀慎明(美浦)","追分ファーム","安平町"
"アルママ","2016-04-28 00:00:00","オルフェーヴル","ホエールキャプチャ","クロフネ","グローバルピース","牡","芦毛　","「あるがまま」より","(有)ビッグレッドファーム","畠山吉宏(美浦)","千代田牧場","新ひだか町"
"フクサンダーク","2016-04-15 00:00:00","フリオーソ","エレガントフラッグ","ダンスインザダーク","ジュビロレディ","牡","鹿毛　","冠名＋母父名の一部","小沼博","小西一男(美浦)","沖田忠幸","新ひだか町"
"マックスアン","2016-03-16 00:00:00","ネオユニヴァース","ツクバエルドラド","El Corredor","ファーストバイオリン","牡","栗毛　","最大＋１（仏）","ＴＵＲＦレーシング","大和田成(美浦)","村上欽哉","新冠町"
"エコロディアマンテ","2016-05-02 00:00:00","ショウナンカンプ","シップスログ","ネオユニヴァース","スムーズセイリング","牡","鹿毛　","冠名＋ダイヤモンド（伊）","原村正紀","岩戸孝樹(美浦)","能登浩","えりも町"
"ヤマチョウヴォイス","2016-03-11 00:00:00","ディープブリランテ","セイカパンジー","ダンシングブレーヴ","シンユーリード","牡","黒鹿毛","冠名＋声","長谷川彰","相沢郁(美浦)","シンユウフアーム","新冠町"
"オールミラージュ","2016-03-02 00:00:00","タートルボウル","リクエストアワー","ネオユニヴァース","ハッピーリクエスト","牡","栗毛　","金色の蜃気楼（仏）","田頭勇貴","深山雅史(美浦)","スカイビーチステーブル","新冠町"
"セイウンコービー","2016-02-25 00:00:00","Congrats","Royal Card","Chapel Royal","Showmethegreencard","牡","鹿毛　","冠名＋人名より","西山茂行","森秀行(栗東)","Ｗｏｏｄｆｏｒｄ　Ｔｈｏｒｏｕｇｈｂｒｅｄｓ","米"
"ヘニッヒ","2016-02-12 00:00:00","ヘニーヒューズ","ルナースフィア","ジェイドロバリー","ルナオーキッド","せん","黒鹿毛","人名より。父名より連想","小田吉男","武井亮(美浦)","新冠橋本牧場","新冠町"
"スマートセラヴィー","2016-03-03 00:00:00","ヘニーヒューズ","スマートオーシャン","Mr. Greeley","Ocean Queen","牡","栗毛　","冠名＋人生（仏）","大川徹","矢作芳人(栗東)","三嶋牧場","浦河町"
"モリノカワセミ","2016-03-29 00:00:00","ヘニーヒューズ","グロリエッテ","アドマイヤムーン","アズワー","牝","鹿毛　","冠名＋カワセミ。魚獲りの王様、清流の宝石と呼ばれる鳥","森和久","大江原哲(美浦)","森永牧場","日高町"
"ロークアルルージュ","2016-02-19 00:00:00","クロフネ","ルージュクール","Redoute's Choice","Sunday Valentine","牡","芦毛　","赤い鯨（仏）。母名より連想","尾﨑恒男","手塚貴久(美浦)","レイクヴィラファーム","洞爺湖町"
"パイロテクニクス","2016-03-30 00:00:00","パイロ","ショウナンハトバ","フジキセキ","フィーユドノワール","せん","鹿毛　","火工術。父名より連想","(有)シルクレーシング","武藤善則(美浦)","原口牧場","新ひだか町"
"ボストンテソーロ","2016-04-16 00:00:00","Temple City","Spirited Away","Awesome Again","Cape North","牝","鹿毛　","アメリカの都市名＋冠名","了德寺健二ホールディングス(株)","田中博康(美浦)","Ｓｐｅｎｄｔｈｒｉｆｔ　Ｆａｒｍ　ＬＬＣ","米"
"デュープロセス","2016-04-02 00:00:00","Daiwa Major","Rose Law","New Approach","Short Skirt","牡","栗毛　","法に基づく適正な手続き","ゴドルフィン","安田隆行(栗東)","Ｇｏｄｏｌｐｈｉｎ","英"
"マルーンベルズ","2016-02-24 00:00:00","ヴィクトワールピサ","アスペンアベニュー","トワイニング","マクダヴィア","牝","鹿毛　","米国、コロラド州アスペンにある景勝地","(有)社台レースホース","萩原清(美浦)","追分ファーム","安平町"
"カナロアガール","2016-02-22 00:00:00","ロードカナロア","サンデーローザ","サンデーサイレンス","アスクローザ","牝","鹿毛　","父名の一部＋少女","広尾レース(株)","田村康仁(美浦)","清水牧場","平取町"
"メイオール","2016-03-30 00:00:00","オルフェーヴル","メイシャイン","シンボリクリスエス","スターアルファ","牝","鹿毛　","冠名＋金（仏）","千明牧場","岩戸孝樹(美浦)","千明牧場","日高町"
"オメガドーヴィル","2016-03-24 00:00:00","キングカメハメハ","オメガインベガス","スペシャルウィーク","ベガスナイト","牝","青鹿毛","冠名＋フランスの地名","原禮子","高柳瑞樹(美浦)","社台ファーム","千歳市"
"アキノコマチ","2016-04-25 00:00:00","ハービンジャー","ユキアカリノマチ","キングカメハメハ","フジムスメ","牝","鹿毛　","冠名＋小町娘","穐吉正孝","田中剛(美浦)","社台ファーム","千歳市"
"スマイルワールド","2016-05-18 00:00:00","キングカメハメハ","エスユーエフシー","Alzao","Familiar","牝","鹿毛　","笑顔の世界","吉田安惠","和田勇介(美浦)","追分ファーム","安平町"
"イルヴェントデーア","2016-05-04 00:00:00","エイシンフラッシュ","デヴェロッペ","ボストンハーバー","ショウエイミズキ","牝","鹿毛　","風の女神（伊）","(株)Ｇリビエール・レーシング","金成貴史(美浦)","ディアレストクラブ","浦河町"
"マメールロア","2016-02-15 00:00:00","オルフェーヴル","フレンチバレリーナ","フレンチデピュティ","バレークイーン","牝","栗毛　","ピアノ四手連弾の組曲をベースとしたバレエ音楽。母名より連想","(有)キャロットファーム","高柳瑞樹(美浦)","ノーザンファーム","安平町"
"コンステレーション","2016-02-22 00:00:00","オルフェーヴル","マイネソルシエール","ロージズインメイ","マイネソーサリス","牝","栗毛　","星座","(株)サラブレッドクラブ・ラフィアン","松永康利(美浦)","ビッグレッドファーム","新冠町"
"オーレア","2016-03-04 00:00:00","オルフェーヴル","コスモバルバラ","ロージズインメイ","マンバラ","牝","栗毛　","金色（ラテン語）。父名より連想","(有)ビッグレッドファーム","高橋祥泰(美浦)","ビッグレッドファーム","新冠町"
"アディクション","2016-02-29 00:00:00","ハーツクライ","アディクティド","Diktat","Astica","牝","芦毛　","虜になること、熱中すること","(有)キャロットファーム","木村哲也(美浦)","ノーザンファーム","安平町"
"パールヴァイン","2016-03-30 00:00:00","ノヴェリスト","エクセラントカーヴ","ダイワメジャー","インディアナカーヴ","牝","黒鹿毛","ドイツの弱発泡性ワイン","(有)社台レースホース","小島茂之(美浦)","社台ファーム","千歳市"
"ペイシャスムーズ","2016-05-31 00:00:00","ブラックタイド","モカモカ","Affirmed","Oh So Smooth","牝","鹿毛　","冠名＋母母名の一部","北所直人","天間昭一(美浦)","梅田牧場","浦河町"
"レーヌシャドウ","2016-04-11 00:00:00","ブラックタイド","カロンセギュール","Forest Camp","Yesterdays Gone","牝","鹿毛　","女王（仏）＋影","(株)スリーエイチレーシング","加藤征弘(美浦)","ノーザンファーム","安平町"
"オールイズスパーブ","2016-02-26 00:00:00","ゴスホークケン","マルターズクリス","シンボリクリスエス","マルターズスパーブ","牝","青鹿毛","全てが素晴しい","藤田在子","堀井雅広(美浦)","天羽禮治","日高町"
"ラブイズブラインド","2016-02-25 00:00:00","ジャスタウェイ","アドマイヤラブ","アドマイヤムーン","アドマイヤカンナ","牝","鹿毛　","恋は盲目。母名より連想","(株)ヒダカ・ブリーダーズ・ユニオン","林徹(美浦)","辻牧場","浦河町"
"ピカブー","2016-02-17 00:00:00","スクリーンヒーロー","オースミアザレア","スペシャルウィーク","オースミハルカ","牝","黒鹿毛","いないいないばあ","ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス(株)","武市康男(美浦)","鮫川啓一","浦河町"
"ラッキーアモン","2016-03-26 00:00:00","トーセンホマレボシ","ミスアモン","メジロライアン","クリアモン","牡","黒鹿毛","幸運な＋母名の一部","平岡茂樹","稲垣幸雄(美浦)","平岡牧場","むかわ町"
"ジョブックビザーレ","2016-04-23 00:00:00","エンパイアメーカー","カルトマリーヌ","クロフネ","アイリスタイム","牡","黒鹿毛","冠名＋突飛な、おかしな","(株)萩本企画","小桧山悟(美浦)","池田スタッド","新ひだか町"
"レイヴンキング","2016-05-14 00:00:00","エイシンフラッシュ","タニノローゼ","ジェネラス","タニノホロホロ","せん","青鹿毛","漆黒の王。本馬と父の毛色、父系の名前から連想","(株)ノルマンディーサラブレッドレーシング","尾形和幸(美浦)","岡田スタツド","新ひだか町"
"トーセンオリンピア","2016-04-13 00:00:00","トーセンロレンス","トーセンブリリアン","ホワイトマズル","パルセイト","牡","鹿毛　","冠名＋古代ギリシャの都市名","島川隆哉","池上昌和(美浦)","(有)エスティファーム","日高町"
"エコロドリーム","2016-04-30 00:00:00","ドリームジャーニー","シーエンプレス","ダンスインザダーク","ディラローシェ","牡","栗毛　","冠名＋夢","原村正紀","岩戸孝樹(美浦)","赤田牧場","浦河町"
"フライクーゲル","2016-04-09 00:00:00","ハービンジャー","ドリームキセキ","フジキセキ","ドリームロッチ","牡","鹿毛　","魔弾（独）","水上行雄","黒岩陽一(美浦)","笠松牧場","浦河町"
"ホウオウビクトリー","2016-03-18 00:00:00","ヴィクトワールピサ","フサイチリニモ","ジャングルポケット","トキオリアリティー","牡","鹿毛　","冠名＋勝利","小笹芳央","斎藤誠(美浦)","岡田スタツド","新ひだか町"
"フロントランナー","2016-03-17 00:00:00","ハービンジャー","アイアイボタン","アドマイヤベガ","ユーワジョイナー","牡","栗毛　","先頭を走る人","山口裕介","田村康仁(美浦)","秋田牧場","新冠町"
"ポベーダテソーロ","2016-02-27 00:00:00","ブラックタイド","スターカットジェム","フォーティナイナー","ミスグローリー","牡","鹿毛　","山の名＋冠名","了德寺健二ホールディングス(株)","加藤士津八(美浦)","藤本ファーム","日高町"
"エンシュラウド","2016-03-19 00:00:00","Authorized","Screen Star","Tobougg","Actoris","せん","芦毛　","覆い隠す","ゴドルフィン","藤沢和雄(美浦)","Ｍａｒｋ　Ｊｏｈｎｓｔｏｎ　Ｒａｃｉｎｇ　Ｌｔｄ","英"
"ミライオー","2016-02-11 00:00:00","ハービンジャー","ミライエ","ディープインパクト","アドマイヤキラメキ","牡","鹿毛　","未来王。母名より連想","林正道","加藤征弘(美浦)","ノーザンファーム","安平町"
"クリノロマン","2015-04-29 00:00:00","ゼンノロブロイ","ミュージー","El Prado","Foible","牝","芦毛　","冠名＋ロマン","栗本博晴","天間昭一(美浦)","宮内牧場","浦河町"
"サンクタリリアス","2012-03-05 00:00:00","スウェプトオーヴァーボード","シルクアンフィニ","ブライアンズタイム","ブラッシングインザレイン","牝","芦毛　","聖なる百合。絵画名より","(有)ミルファーム","田中清隆(美浦)","ラツキー牧場","新冠町"
"アロースコルトン","2013-04-27 00:00:00","メイショウボーラー","オーガスタムーン","エブロス","リトルロマンス","牡","鹿毛　","フランス東部の小さな村名。ワインの名産地","吉田好雄","堀井雅広(美浦)","山岡牧場","新冠町"
"スマートアムール","2014-03-05 00:00:00","ダイワメジャー","ラーナック","Montjeu","Gardd","牝","栗毛　","冠名＋愛（仏）","大川徹","粕谷昌央(美浦)","杵臼牧場","浦河町"
"スフバータル","2013-05-19 00:00:00","アッミラーレ","キャッスルローズ","スターリングローズ","イェンマルク","牡","栗毛　","人名より","(有)和田牧場","中野栄治(美浦)","城市公","新ひだか町"
"ミルトシャトル","2015-03-23 00:00:00","タイキシャトル","ベネディーレ","クロフネ","ブレッシング","牡","栗毛　","冠名＋父名の一部","永山勝敏","佐藤吉勝(美浦)","木村秀則","新ひだか町"
"ハイアーグラウンド","2014-03-03 00:00:00","シンボリクリスエス","アスピリンスノー","エルコンドルパサー","スキーパラダイス","せん","鹿毛　","高い場所へ","小村アセットＭ(株)","大和田成(美浦)","社台ファーム","千歳市"
"ゼンノタヂカラオ","2013-01-06 00:00:00","キングカメハメハ","ダイヤモンドビコー","サンデーサイレンス","ステラマドリッド","せん","黒鹿毛","冠名＋日本神話の神より","大迫久美子","田中博康(美浦)","村上欽哉","新冠町"
"マナツノヨノユメ","2014-05-14 00:00:00","ヴィクトワールピサ","アドマイヤダッシュ","フサイチコンコルド","シンコウエンジェル","牝","鹿毛　","真夏の夜の夢","國分純","菊沢隆徳(美浦)","スマイルファーム","日高町"
"アメリカンツイスト","2015-02-19 00:00:00","ストロングリターン","エアウイングス","サンデーサイレンス","シークレットシェアラー","せん","鹿毛　","テニス用語でスピンサーブの別称。父名より連想","(株)グリーンファーム","中舘英二(美浦)","社台ファーム","千歳市"
"ルーチェソラーレ","2015-04-29 00:00:00","アイルハヴアナザー","サウスティーダ","アドマイヤベガ","キョウエイコロナ","牝","芦毛　","日光（伊）","岡田牧雄","小笠倫弘(美浦)","岡田スタツド","新ひだか町"
"ジェイケイマッチョ","2015-03-29 00:00:00","サウスヴィグラス","ジェイケイドリーム","マンハッタンカフェ","ジェイケイコンドル","せん","鹿毛　","冠名＋頑丈な（西）","小谷野次郎","松永康利(美浦)","村上欽哉","新冠町"
"デルマカミカゼ","2015-04-14 00:00:00","ストロングリターン","デルマアマノジャク","オンファイア","テンシノウタ","牡","黒鹿毛","冠名＋カクテル名","浅沼廣幸","小野次郎(美浦)","ファニーヒルファーム","日高町"
"ハヤブサレジェンド","2015-02-08 00:00:00","ヘニーヒューズ","イチゴイチエ","マンハッタンカフェ","アイチェックユー","牡","黒鹿毛","冠名＋「伝説」になる馬","(有)グランド牧場","伊藤圭三(美浦)","グランド牧場","新ひだか町"
"オープンザウェイ","2012-03-03 00:00:00","ヨハネスブルグ","ヨウヨウ","マヤノトップガン","フィジーガール","せん","栗毛　","道が開ける","ディアレストクラブ(株)","菊川正達(美浦)","沖田牧場","日高町"
"カタナ","2015-04-18 00:00:00","ロードカナロア","シタール","Fusaichi Pegasus","Rose Park","牡","鹿毛　","刀","椎名節","上原博之(美浦)","松浦牧場","新冠町"
"ヴァローレネロ","2015-04-26 00:00:00","ヴァーミリアン","クリスタルストーン","ブライアンズタイム","リキセレナード","牡","青毛　","勇敢（伊）＋黒（伊）","程田真司","牧光二(美浦)","チャンピオンズファーム","日高町"
"センノギモーヴ","2014-05-29 00:00:00","タイムパラドックス","サッカータイカン","サツカーボーイ","ナイスショット","牝","栗毛　","冠名＋フランス菓子の一種","浅野正敏","浅野洋一郎(美浦)","カタオカフアーム","新ひだか町"
"リルティングインク","2013-04-12 00:00:00","マツリダゴッホ","ザラストドロップ","ヤマニンスキー","カーペディエム","牝","黒鹿毛","軽快な＋四代母スカーレットインクより","(株)ノルマンディーサラブレッドレーシング","清水英克(美浦)","岡田スタツド","新ひだか町"
"ペイシャスター","2015-03-31 00:00:00","ロージズインメイ","ベツレヘムスター","フジキセキ","ビワプランサー","牝","黒鹿毛","冠名＋母名の一部","北所直人","土田稔(美浦)","飯岡牧場","新ひだか町"
"リーガルオフィス","2013-04-23 00:00:00","シンボリクリスエス","アグネスキフジン","サンデーサイレンス","スウィーピングズ","せん","鹿毛　","王位に就く","山田弘","高木登(美浦)","日高大洋牧場","日高町"
"ラブユーミー","2014-04-29 00:00:00","スマートファルコン","ラブドリーム","フォーティナイナー","シュペリーヌ","牝","鹿毛　","冠名＋あなたと私","増田陽一","星野忍(美浦)","松田牧場","新ひだか町"
"ライクアロケット","2015-05-19 00:00:00","ゴールドアリュール","ビジネスロマン","メジロマックイーン","コトブキトミオー","せん","鹿毛　","ロケットのように","島田久","小西一男(美浦)","高柳隆男","日高町"
"シネマソングス","2015-03-27 00:00:00","ハーツクライ","アースリヴィング","Yonaguska","Etoufee","牝","黒鹿毛","映画音楽","(株)グリーンファーム","小笠倫弘(美浦)","(有)吉田ファーム","浦河町"
"レアバード","2015-05-20 00:00:00","サムライハート","ディアレイラ","シャンハイ","ハシコ","牡","鹿毛　","類いまれな才能を持つ人、利口な奴","田中春美","高市圭二(美浦)","田中春美","新ひだか町"
"オーシャンビュー","2013-05-18 00:00:00","マヤノトップガン","アスコットビコー","フジキセキ","スタンピード","牡","鹿毛　","海の眺めがよい","冨沢敦子","伊藤伸一(美浦)","八木明広","新冠町"
"マイネルレンカ","2014-05-15 00:00:00","スマートファルコン","ラビングトスカーナ","マイネルラヴ","アンファテュエ","牡","黒鹿毛","冠名＋望み、希望（アイヌ語）","(株)サラブレッドクラブ・ラフィアン","堀井雅広(美浦)","碧雲牧場","日高町"
"ディーエスバズーカ","2015-03-26 00:00:00","ドリームジャーニー","グラマトフィラム","クロフネ","ファヴォリ","牡","黒鹿毛","冠名＋対戦車用の携帯式ロケット弾","秋谷壽之","藤原辰雄(美浦)","広富牧場","日高町"
"キルロード","2015-03-03 00:00:00","ロードカナロア","キルシュワッサー","サクラバクシンオー","ナミビア","せん","鹿毛　","母名より＋父名の一部","エンジェルレーシング(株)","田村康仁(美浦)","天羽禮治","日高町"
"ウイングセクション","2015-05-08 00:00:00","ダノンシャンティ","ウイングオブラック","ブライアンズタイム","バブルウイングス","牡","栗毛　","翼型","(有)サンデーレーシング","田中剛(美浦)","（有）社台コーポレーション白老ファーム","白老町"
"トーセンヴィータ","2015-04-02 00:00:00","トーセンホマレボシ","トーセンフリージア","シンボリクリスエス","タガノアイリス","牡","青鹿毛","冠名＋人生、命（伊）","島川隆哉","古賀慎明(美浦)","(有)エスティファーム","日高町"
"ミッキーボニータ","2015-02-26 00:00:00","ノヴェリスト","ローザボニータ","ディープインパクト","ローザロバータ","せん","鹿毛　","冠名＋母名の一部","野田みづき","萩原清(美浦)","ノーザンファーム","安平町"
"ブルーグローブ","2016-04-06 00:00:00","オルフェーヴル","アースウィンド","ディープスカイ","ベストオブチャンス","牝","黒鹿毛","青い地球","林正道","矢野英一(美浦)","白井牧場","日高町"
